model,seed,tok_len,is_perfect,answer,predict,answer_tok,predict_tok
GRU,1,16,1,CON=CCSCc1ccccc1,CON=CCSCc1ccccc1,"['C', 'O', 'N', '=', 'C', 'C', 'S', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1']","['C', 'O', 'N', '=', 'C', 'C', 'S', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1']"
GRU,1,16,1,OCc1ccc2ccccc2n1,OCc1ccc2ccccc2n1,"['O', 'C', 'c', '1', 'c', 'c', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', 'n', '1']","['O', 'C', 'c', '1', 'c', 'c', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', 'n', '1']"
GRU,1,16,1,OCc1c(Cl)cccc1Cl,OCc1c(Cl)cccc1Cl,"['O', 'C', 'c', '1', 'c', '(', 'C', 'l', ')', 'c', 'c', 'c', 'c', '1', 'C', 'l']","['O', 'C', 'c', '1', 'c', '(', 'C', 'l', ')', 'c', 'c', 'c', 'c', '1', 'C', 'l']"
GRU,1,16,0,CCCCCC[C@@H](C)NC,CCCCCC[C@@H](C)N[C@@H](C)CC,"['C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'N', 'C']","['C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', 'C']"
GRU,1,16,1,N#Cc1nc(Br)ccc1F,N#Cc1nc(Br)ccc1F,"['N', '#', 'C', 'c', '1', 'n', 'c', '(', 'B', 'r', ')', 'c', 'c', 'c', '1', 'F']","['N', '#', 'C', 'c', '1', 'n', 'c', '(', 'B', 'r', ')', 'c', 'c', 'c', '1', 'F']"
GRU,1,16,0,CCn1c(Cl)cccc1=O,CCn1c(Cl)cccc1[C@@H](O)C=O,"['C', 'C', 'n', '1', 'c', '(', 'C', 'l', ')', 'c', 'c', 'c', 'c', '1', '=', 'O']","['C', 'C', 'n', '1', 'c', '(', 'C', 'l', ')', 'c', 'c', 'c', 'c', '1', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', '=', 'O']"
GRU,1,16,1,C=CCN(C)Cc1cscn1,C=CCN(C)Cc1cscn1,"['C', '=', 'C', 'C', 'N', '(', 'C', ')', 'C', 'c', '1', 'c', 's', 'c', 'n', '1']","['C', '=', 'C', 'C', 'N', '(', 'C', ')', 'C', 'c', '1', 'c', 's', 'c', 'n', '1']"
GRU,1,16,0,C#Cc1cccc(C#C)n1,C#Cc1cccc(C(=C)[C@H]2CC2(F)Cl)n1,"['C', '#', 'C', 'c', '1', 'c', 'c', 'c', 'c', '(', 'C', '#', 'C', ')', 'n', '1']","['C', '#', 'C', 'c', '1', 'c', 'c', 'c', 'c', '(', 'C', '(', '=', 'C', ')', '[', 'C', '@', 'H', ']', '2', 'C', 'C', '2', '(', 'F', ')', 'C', 'l', ')', 'n', '1']"
GRU,1,16,0,CN[C@@H]1CCN(C)C1,CN[C@@H]1CCN(C)[C@H](OC)C1,"['C', 'N', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', 'N', '(', 'C', ')', 'C', '1']","['C', 'N', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', 'N', '(', 'C', ')', '[', 'C', '@', 'H', ']', '(', 'O', 'C', ')', 'C', '1']"
GRU,1,16,1,CC(C)Cc1ncccc1Br,CC(C)Cc1ncccc1Br,"['C', 'C', '(', 'C', ')', 'C', 'c', '1', 'n', 'c', 'c', 'c', 'c', '1', 'B', 'r']","['C', 'C', '(', 'C', ')', 'C', 'c', '1', 'n', 'c', 'c', 'c', 'c', '1', 'B', 'r']"
GRU,1,16,1,O=CNC[C@H]1CCCO1,O=CNC[C@H]1CCCO1,"['O', '=', 'C', 'N', 'C', '[', 'C', '@', 'H', ']', '1', 'C', 'C', 'C', 'O', '1']","['O', '=', 'C', 'N', 'C', '[', 'C', '@', 'H', ']', '1', 'C', 'C', 'C', 'O', '1']"
GRU,1,16,1,COCCCCCSc1ncccn1,COCCCCCSc1ncccn1,"['C', 'O', 'C', 'C', 'C', 'C', 'C', 'S', 'c', '1', 'n', 'c', 'c', 'c', 'n', '1']","['C', 'O', 'C', 'C', 'C', 'C', 'C', 'S', 'c', '1', 'n', 'c', 'c', 'c', 'n', '1']"
GRU,1,16,0,CCCN1C(=O)CSC1=S,CCCN1C(=S)CS[C@@H]1C1CCC1,"['C', 'C', 'C', 'N', '1', 'C', '(', '=', 'O', ')', 'C', 'S', 'C', '1', '=', 'S']","['C', 'C', 'C', 'N', '1', 'C', '(', '=', 'S', ')', 'C', 'S', '[', 'C', '@@', 'H', ']', '1', 'C', '1', 'C', 'C', 'C', '1']"
GRU,1,16,1,CN(CCCCC#N)C1CC1,CN(CCCCC#N)C1CC1,"['C', 'N', '(', 'C', 'C', 'C', 'C', 'C', '#', 'N', ')', 'C', '1', 'C', 'C', '1']","['C', 'N', '(', 'C', 'C', 'C', 'C', 'C', '#', 'N', ')', 'C', '1', 'C', 'C', '1']"
GRU,1,16,1,Brc1ccnc2ccccc12,Brc1ccnc2ccccc12,"['B', 'r', 'c', '1', 'c', 'c', 'n', 'c', '2', 'c', 'c', 'c', 'c', 'c', '1', '2']","['B', 'r', 'c', '1', 'c', 'c', 'n', 'c', '2', 'c', 'c', 'c', 'c', 'c', '1', '2']"
GRU,1,16,1,CCc1cc(SCCN)ncn1,CCc1cc(SCCN)ncn1,"['C', 'C', 'c', '1', 'c', 'c', '(', 'S', 'C', 'C', 'N', ')', 'n', 'c', 'n', '1']","['C', 'C', 'c', '1', 'c', 'c', '(', 'S', 'C', 'C', 'N', ')', 'n', 'c', 'n', '1']"
GRU,1,16,1,CC(C)CCc1cnccc1N,CC(C)CCc1cnccc1N,"['C', 'C', '(', 'C', ')', 'C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']","['C', 'C', '(', 'C', ')', 'C', 'C', 'c', '1', 'c', 'n', 'c', 'c', 'c', '1', 'N']"
GRU,1,16,0,N#Cc1cncc(Cl)c1S,N#Cc1cncc(Cl)c1[C@@H](O)C(Cl)(Cl)S,"['N', '#', 'C', 'c', '1', 'c', 'n', 'c', 'c', '(', 'C', 'l', ')', 'c', '1', 'S']","['N', '#', 'C', 'c', '1', 'c', 'n', 'c', 'c', '(', 'C', 'l', ')', 'c', '1', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', '(', 'C', 'l', ')', '(', 'C', 'l', ')', 'S']"
GRU,1,16,1,C[C@H](N)c1cncs1,C[C@H](N)c1cncs1,"['C', '[', 'C', '@', 'H', ']', '(', 'N', ')', 'c', '1', 'c', 'n', 'c', 's', '1']","['C', '[', 'C', '@', 'H', ']', '(', 'N', ')', 'c', '1', 'c', 'n', 'c', 's', '1']"
GRU,1,16,0,COC[C@](C)(CN)CO,COC[C@](C)(CN)C(=O)O,"['C', 'O', 'C', '[', 'C', '@', ']', '(', 'C', ')', '(', 'C', 'N', ')', 'C', 'O']","['C', 'O', 'C', '[', 'C', '@', ']', '(', 'C', ')', '(', 'C', 'N', ')', 'C', '(', '=', 'O', ')', 'O']"
GRU,1,16,0,COc1ccc(OCCN)cc1,COc1ccc(OCCN)cc1[N+](=O)[O-],"['C', 'O', 'c', '1', 'c', 'c', 'c', '(', 'O', 'C', 'C', 'N', ')', 'c', 'c', '1']","['C', 'O', 'c', '1', 'c', 'c', 'c', '(', 'O', 'C', 'C', 'N', ')', 'c', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,1,16,1,COC(=O)NCCC1CCC1,COC(=O)NCCC1CCC1,"['C', 'O', 'C', '(', '=', 'O', ')', 'N', 'C', 'C', 'C', '1', 'C', 'C', 'C', '1']","['C', 'O', 'C', '(', '=', 'O', ')', 'N', 'C', 'C', 'C', '1', 'C', 'C', 'C', '1']"
GRU,1,16,1,CN(C)CCNC1CCOCC1,CN(C)CCNC1CCOCC1,"['C', 'N', '(', 'C', ')', 'C', 'C', 'N', 'C', '1', 'C', 'C', 'O', 'C', 'C', '1']","['C', 'N', '(', 'C', ')', 'C', 'C', 'N', 'C', '1', 'C', 'C', 'O', 'C', 'C', '1']"
GRU,1,16,0,c1cnn(C2CCCC2)c1,c1cnn([C@@H]2CCCC2)c1,"['c', '1', 'c', 'n', 'n', '(', 'C', '2', 'C', 'C', 'C', 'C', '2', ')', 'c', '1']","['c', '1', 'c', 'n', 'n', '(', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', 'C', 'C', '2', ')', 'c', '1']"
GRU,1,16,1,COCc1cc(Cl)ccc1N,COCc1cc(Cl)ccc1N,"['C', 'O', 'C', 'c', '1', 'c', 'c', '(', 'C', 'l', ')', 'c', 'c', 'c', '1', 'N']","['C', 'O', 'C', 'c', '1', 'c', 'c', '(', 'C', 'l', ')', 'c', 'c', 'c', '1', 'N']"
GRU,1,16,1,COC1=CN(C)CCC1=O,COC1=CN(C)CCC1=O,"['C', 'O', 'C', '1', '=', 'C', 'N', '(', 'C', ')', 'C', 'C', 'C', '1', '=', 'O']","['C', 'O', 'C', '1', '=', 'C', 'N', '(', 'C', ')', 'C', 'C', 'C', '1', '=', 'O']"
GRU,1,16,1,Cc1cc(N)cc(CN)c1,Cc1cc(N)cc(CN)c1,"['C', 'c', '1', 'c', 'c', '(', 'N', ')', 'c', 'c', '(', 'C', 'N', ')', 'c', '1']","['C', 'c', '1', 'c', 'c', '(', 'N', ')', 'c', 'c', '(', 'C', 'N', ')', 'c', '1']"
GRU,1,16,1,Nc1cc2c(s1)CCCC2,Nc1cc2c(s1)CCCC2,"['N', 'c', '1', 'c', 'c', '2', 'c', '(', 's', '1', ')', 'C', 'C', 'C', 'C', '2']","['N', 'c', '1', 'c', 'c', '2', 'c', '(', 's', '1', ')', 'C', 'C', 'C', 'C', '2']"
GRU,1,16,0,Brc1ccc2ccncc2c1,Brc1ccc2ccnc([C@@H]3CCC3)c2c1,"['B', 'r', 'c', '1', 'c', 'c', 'c', '2', 'c', 'c', 'n', 'c', 'c', '2', 'c', '1']","['B', 'r', 'c', '1', 'c', 'c', 'c', '2', 'c', 'c', 'n', 'c', '(', '[', 'C', '@@', 'H', ']', '3', 'C', 'C', 'C', '3', ')', 'c', '2', 'c', '1']"
GRU,1,16,1,C=CCN(CCC)CC(C)C,C=CCN(CCC)CC(C)C,"['C', '=', 'C', 'C', 'N', '(', 'C', 'C', 'C', ')', 'C', 'C', '(', 'C', ')', 'C']","['C', '=', 'C', 'C', 'N', '(', 'C', 'C', 'C', ')', 'C', 'C', '(', 'C', ')', 'C']"
GRU,1,16,0,CCOC(=O)C=C1COC1,CCOC(=O)C=C1CCOC1,"['C', 'C', 'O', 'C', '(', '=', 'O', ')', 'C', '=', 'C', '1', 'C', 'O', 'C', '1']","['C', 'C', 'O', 'C', '(', '=', 'O', ')', 'C', '=', 'C', '1', 'C', 'C', 'O', 'C', '1']"
GRU,1,16,0,CCOC1CCN(CCN)CC1,CCOC1CCN(CCN)[C@H](CC1)C(N)=O,"['C', 'C', 'O', 'C', '1', 'C', 'C', 'N', '(', 'C', 'C', 'N', ')', 'C', 'C', '1']","['C', 'C', 'O', 'C', '1', 'C', 'C', 'N', '(', 'C', 'C', 'N', ')', '[', 'C', '@', 'H', ']', '(', 'C', 'C', '1', ')', 'C', '(', 'N', ')', '=', 'O']"
GRU,1,16,1,CCCCNC(=O)OCC#CI,CCCCNC(=O)OCC#CI,"['C', 'C', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', '#', 'C', 'I']","['C', 'C', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', '#', 'C', 'I']"
GRU,1,16,0,CCNC(=S)NC(=O)OC,CCNC(=S)N[C@@H](C(=O)OC)SC,"['C', 'C', 'N', 'C', '(', '=', 'S', ')', 'N', 'C', '(', '=', 'O', ')', 'O', 'C']","['C', 'C', 'N', 'C', '(', '=', 'S', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'O', 'C', ')', 'S', 'C']"
GRU,1,16,1,CN(CCCCCF)CCOCCN,CN(CCCCCF)CCOCCN,"['C', 'N', '(', 'C', 'C', 'C', 'C', 'C', 'F', ')', 'C', 'C', 'O', 'C', 'C', 'N']","['C', 'N', '(', 'C', 'C', 'C', 'C', 'C', 'F', ')', 'C', 'C', 'O', 'C', 'C', 'N']"
GRU,1,16,0,O=C1C=COC12CCCC2,O=C1C=C[C@@H](OC2CCCC2)C12CCC2,"['O', '=', 'C', '1', 'C', '=', 'C', 'O', 'C', '1', '2', 'C', 'C', 'C', 'C', '2']","['O', '=', 'C', '1', 'C', '=', 'C', '[', 'C', '@@', 'H', ']', '(', 'O', 'C', '2', 'C', 'C', 'C', 'C', '2', ')', 'C', '1', '2', 'C', 'C', 'C', '2']"
GRU,1,16,1,CN(C)Cc1noc(N)n1,CN(C)Cc1noc(N)n1,"['C', 'N', '(', 'C', ')', 'C', 'c', '1', 'n', 'o', 'c', '(', 'N', ')', 'n', '1']","['C', 'N', '(', 'C', ')', 'C', 'c', '1', 'n', 'o', 'c', '(', 'N', ')', 'n', '1']"
GRU,1,16,1,O=C(NCCCCO)OCCCF,O=C(NCCCCO)OCCCF,"['O', '=', 'C', '(', 'N', 'C', 'C', 'C', 'C', 'O', ')', 'O', 'C', 'C', 'C', 'F']","['O', '=', 'C', '(', 'N', 'C', 'C', 'C', 'C', 'O', ')', 'O', 'C', 'C', 'C', 'F']"
GRU,1,16,1,CC(C)c1cccc(O)c1,CC(C)c1cccc(O)c1,"['C', 'C', '(', 'C', ')', 'c', '1', 'c', 'c', 'c', 'c', '(', 'O', ')', 'c', '1']","['C', 'C', '(', 'C', ')', 'c', '1', 'c', 'c', 'c', 'c', '(', 'O', ')', 'c', '1']"
GRU,1,16,0,COc1cc2ccncc2cn1,COc1cc2ccncc2c([C@@H]2CC2)c1,"['C', 'O', 'c', '1', 'c', 'c', '2', 'c', 'c', 'n', 'c', 'c', '2', 'c', 'n', '1']","['C', 'O', 'c', '1', 'c', 'c', '2', 'c', 'c', 'n', 'c', 'c', '2', 'c', '(', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', '2', ')', 'c', '1']"
GRU,1,16,1,COCC(C)(C)CNCCSC,COCC(C)(C)CNCCSC,"['C', 'O', 'C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'N', 'C', 'C', 'S', 'C']","['C', 'O', 'C', 'C', '(', 'C', ')', '(', 'C', ')', 'C', 'N', 'C', 'C', 'S', 'C']"
GRU,1,16,1,Brc1ccsc1C1OCCO1,Brc1ccsc1C1OCCO1,"['B', 'r', 'c', '1', 'c', 'c', 's', 'c', '1', 'C', '1', 'O', 'C', 'C', 'O', '1']","['B', 'r', 'c', '1', 'c', 'c', 's', 'c', '1', 'C', '1', 'O', 'C', 'C', 'O', '1']"
GRU,1,16,0,CCC1CC(C(=O)O)C1,CCC1CC(=O)[C@@H](C(O)O)C1,"['C', 'C', 'C', '1', 'C', 'C', '(', 'C', '(', '=', 'O', ')', 'O', ')', 'C', '1']","['C', 'C', 'C', '1', 'C', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'C', '(', 'O', ')', 'O', ')', 'C', '1']"
GRU,2,16,0,CSCCCS[C@@H](C)CO,CSCCCS[C@@H](C)C(=O)O,"['C', 'S', 'C', 'C', 'C', 'S', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', 'O']","['C', 'S', 'C', 'C', 'C', 'S', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'C', '(', '=', 'O', ')', 'O']"
GRU,2,16,1,CC(C)SCSCCC(N)=O,CC(C)SCSCCC(N)=O,"['C', 'C', '(', 'C', ')', 'S', 'C', 'S', 'C', 'C', 'C', '(', 'N', ')', '=', 'O']","['C', 'C', '(', 'C', ')', 'S', 'C', 'S', 'C', 'C', 'C', '(', 'N', ')', '=', 'O']"
GRU,2,16,0,COCCOCCCNC(=O)CN,COCCOCCCNC(=O)CNC(N)=O,"['C', 'O', 'C', 'C', 'O', 'C', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'C', 'N']","['C', 'O', 'C', 'C', 'O', 'C', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'C', 'N', 'C', '(', 'N', ')', '=', 'O']"
GRU,2,16,0,Brc1ccnc2cccnc12,Brc1cccnc1[C@@]1(C)Cc2cccnc2[C@H]1C(F)(F)F,"['B', 'r', 'c', '1', 'c', 'c', 'n', 'c', '2', 'c', 'c', 'c', 'n', 'c', '1', '2']","['B', 'r', 'c', '1', 'c', 'c', 'c', 'n', 'c', '1', '[', 'C', '@@', ']', '1', '(', 'C', ')', 'C', 'c', '2', 'c', 'c', 'c', 'n', 'c', '2', '[', 'C', '@', 'H', ']', '1', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,2,16,1,CSc1ccccc1/C=N/O,CSc1ccccc1/C=N/O,"['C', 'S', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', '/', 'C', '=', 'N', '/', 'O']","['C', 'S', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', '/', 'C', '=', 'N', '/', 'O']"
GRU,2,16,0,O[C@@H]1C=CCCCCC1,O[C@H]1CCCCCC[C@@H]1C(=O)[C@@H]1CC=CC[C@@H]1C(F)(F)F,"['O', '[', 'C', '@@', 'H', ']', '1', 'C', '=', 'C', 'C', 'C', 'C', 'C', 'C', '1']","['O', '[', 'C', '@', 'H', ']', '1', 'C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '1', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '=', 'C', 'C', '[', 'C', '@@', 'H', ']', '1', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,2,16,1,CC(=O)Nc1ccncc1N,CC(=O)Nc1ccncc1N,"['C', 'C', '(', '=', 'O', ')', 'N', 'c', '1', 'c', 'c', 'n', 'c', 'c', '1', 'N']","['C', 'C', '(', '=', 'O', ')', 'N', 'c', '1', 'c', 'c', 'n', 'c', 'c', '1', 'N']"
GRU,2,16,0,CS(=O)(=O)CC1CC1,CS(=O)(=O)CC1([N+](=O)[O-])CC1,"['C', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', 'C', 'C', '1', 'C', 'C', '1']","['C', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', 'C', 'C', '1', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'C', 'C', '1']"
GRU,2,16,1,CC[N+](C)(CC)CCO,CC[N+](C)(CC)CCO,"['C', 'C', '[', 'N', '+', ']', '(', 'C', ')', '(', 'C', 'C', ')', 'C', 'C', 'O']","['C', 'C', '[', 'N', '+', ']', '(', 'C', ')', '(', 'C', 'C', ')', 'C', 'C', 'O']"
GRU,2,16,0,CCOC(=O)C(C)(F)F,CCOC(=O)C(F)(F)C(C)(F)F,"['C', 'C', 'O', 'C', '(', '=', 'O', ')', 'C', '(', 'C', ')', '(', 'F', ')', 'F']","['C', 'C', 'O', 'C', '(', '=', 'O', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'C', '(', 'C', ')', '(', 'F', ')', 'F']"
GRU,2,16,1,C=CCNN=CC1CCCCC1,C=CCNN=CC1CCCCC1,"['C', '=', 'C', 'C', 'N', 'N', '=', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1']","['C', '=', 'C', 'C', 'N', 'N', '=', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1']"
GRU,2,16,1,CC(C)CCCNC(CF)CF,CC(C)CCCNC(CF)CF,"['C', 'C', '(', 'C', ')', 'C', 'C', 'C', 'N', 'C', '(', 'C', 'F', ')', 'C', 'F']","['C', 'C', '(', 'C', ')', 'C', 'C', 'C', 'N', 'C', '(', 'C', 'F', ')', 'C', 'F']"
GRU,2,16,0,C=CCCCOc1ccccc1I,C=CCCCOc1ccccc1-c1cccc([N+](=O)[O-])c1,"['C', '=', 'C', 'C', 'C', 'C', 'O', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'I']","['C', '=', 'C', 'C', 'C', 'C', 'O', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', '-', 'c', '1', 'c', 'c', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', '1']"
GRU,2,16,0,Cn1cc(C=O)c(O)n1,Cn1cc(C=O)c(O)c1,"['C', 'n', '1', 'c', 'c', '(', 'C', '=', 'O', ')', 'c', '(', 'O', ')', 'n', '1']","['C', 'n', '1', 'c', 'c', '(', 'C', '=', 'O', ')', 'c', '(', 'O', ')', 'c', '1']"
GRU,2,16,1,CN(CCCF)Cc1cccs1,CN(CCCF)Cc1cccs1,"['C', 'N', '(', 'C', 'C', 'C', 'F', ')', 'C', 'c', '1', 'c', 'c', 'c', 's', '1']","['C', 'N', '(', 'C', 'C', 'C', 'F', ')', 'C', 'c', '1', 'c', 'c', 'c', 's', '1']"
GRU,2,16,1,Clc1ncnc2c1CCNC2,Clc1ncnc2c1CCNC2,"['C', 'l', 'c', '1', 'n', 'c', 'n', 'c', '2', 'c', '1', 'C', 'C', 'N', 'C', '2']","['C', 'l', 'c', '1', 'n', 'c', 'n', 'c', '2', 'c', '1', 'C', 'C', 'N', 'C', '2']"
GRU,2,16,1,COC(=O)C1(O)CCC1,COC(=O)C1(O)CCC1,"['C', 'O', 'C', '(', '=', 'O', ')', 'C', '1', '(', 'O', ')', 'C', 'C', 'C', '1']","['C', 'O', 'C', '(', '=', 'O', ')', 'C', '1', '(', 'O', ')', 'C', 'C', 'C', '1']"
GRU,2,16,0,C#CC1=CC(=O)CCC1,C#CC1=CCCC(=O)[C@@H](C(F)(F)F)C1,"['C', '#', 'C', 'C', '1', '=', 'C', 'C', '(', '=', 'O', ')', 'C', 'C', 'C', '1']","['C', '#', 'C', 'C', '1', '=', 'C', 'C', 'C', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'C', '1']"
GRU,2,16,1,C=CCNC(=O)C(=O)O,C=CCNC(=O)C(=O)O,"['C', '=', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'C', '(', '=', 'O', ')', 'O']","['C', '=', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'C', '(', '=', 'O', ')', 'O']"
GRU,2,16,0,C/C=N/Oc1ccccc1O,C/N=C/c1ccccc1Oc1cccc([N+](=O)[O-])c1O,"['C', '/', 'C', '=', 'N', '/', 'O', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'O']","['C', '/', 'N', '=', 'C', '/', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'O', 'c', '1', 'c', 'c', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', '1', 'O']"
GRU,2,16,0,CCCCCC[C@@H](C)NN,CCCCCC[C@@H](C)N[C@@H](CN)C(=O)O,"['C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'N', 'N']","['C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'N', ')', 'C', '(', '=', 'O', ')', 'O']"
GRU,2,16,0,C#CCNCC(=O)NCCNC,C#CCNCC(=O)NCCN(C)C,"['C', '#', 'C', 'C', 'N', 'C', 'C', '(', '=', 'O', ')', 'N', 'C', 'C', 'N', 'C']","['C', '#', 'C', 'C', 'N', 'C', 'C', '(', '=', 'O', ')', 'N', 'C', 'C', 'N', '(', 'C', ')', 'C']"
GRU,2,16,1,CON(C)CCCCC(=O)O,CON(C)CCCCC(=O)O,"['C', 'O', 'N', '(', 'C', ')', 'C', 'C', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']","['C', 'O', 'N', '(', 'C', ')', 'C', 'C', 'C', 'C', 'C', '(', '=', 'O', ')', 'O']"
GRU,2,16,1,C=CCCCCN(CCO)CCO,C=CCCCCN(CCO)CCO,"['C', '=', 'C', 'C', 'C', 'C', 'C', 'N', '(', 'C', 'C', 'O', ')', 'C', 'C', 'O']","['C', '=', 'C', 'C', 'C', 'C', 'C', 'N', '(', 'C', 'C', 'O', ')', 'C', 'C', 'O']"
GRU,2,16,0,Nc1cc(O)nc(Cl)n1,Nc1cc(O)nc(Cl)c1,"['N', 'c', '1', 'c', 'c', '(', 'O', ')', 'n', 'c', '(', 'C', 'l', ')', 'n', '1']","['N', 'c', '1', 'c', 'c', '(', 'O', ')', 'n', 'c', '(', 'C', 'l', ')', 'c', '1']"
GRU,2,16,0,CCC(CC)SCC(=O)NC,CCC(CC)SCC(=O)NC(C)(C)C,"['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', '(', '=', 'O', ')', 'N', 'C']","['C', 'C', 'C', '(', 'C', 'C', ')', 'S', 'C', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C']"
GRU,2,16,1,N=C(NCCF)NCC1CC1,N=C(NCCF)NCC1CC1,"['N', '=', 'C', '(', 'N', 'C', 'C', 'F', ')', 'N', 'C', 'C', '1', 'C', 'C', '1']","['N', '=', 'C', '(', 'N', 'C', 'C', 'F', ')', 'N', 'C', 'C', '1', 'C', 'C', '1']"
GRU,2,16,1,C#CCN(C)Cc1csnn1,C#CCN(C)Cc1csnn1,"['C', '#', 'C', 'C', 'N', '(', 'C', ')', 'C', 'c', '1', 'c', 's', 'n', 'n', '1']","['C', '#', 'C', 'C', 'N', '(', 'C', ')', 'C', 'c', '1', 'c', 's', 'n', 'n', '1']"
GRU,2,16,0,Cc1c(N)nc(F)nc1F,Cc1c(F)nc(F)c(N)n1,"['C', 'c', '1', 'c', '(', 'N', ')', 'n', 'c', '(', 'F', ')', 'n', 'c', '1', 'F']","['C', 'c', '1', 'c', '(', 'F', ')', 'n', 'c', '(', 'F', ')', 'c', '(', 'N', ')', 'n', '1']"
GRU,2,16,1,COCCCCn1cnccc1=O,COCCCCn1cnccc1=O,"['C', 'O', 'C', 'C', 'C', 'C', 'n', '1', 'c', 'n', 'c', 'c', 'c', '1', '=', 'O']","['C', 'O', 'C', 'C', 'C', 'C', 'n', '1', 'c', 'n', 'c', 'c', 'c', '1', '=', 'O']"
GRU,2,16,1,CC[C@@H](C)NCCCSC,CC[C@@H](C)NCCCSC,"['C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'N', 'C', 'C', 'C', 'S', 'C']","['C', 'C', '[', 'C', '@@', 'H', ']', '(', 'C', ')', 'N', 'C', 'C', 'C', 'S', 'C']"
GRU,2,16,1,CCOc1ccccc1NCCOC,CCOc1ccccc1NCCOC,"['C', 'C', 'O', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'N', 'C', 'C', 'O', 'C']","['C', 'C', 'O', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'N', 'C', 'C', 'O', 'C']"
